filter,mjd,flux,zp,magsys,fluxerr
ztfg,59023.2172221998,63.6971535921848,23.9,ab,6.10684971032857
ztfg,59252.4919329002,,23.9,ab,5.82906542191974
ztfg,59033.1993403002,,23.9,ab,17.4321105916974
ztfg,59037.2135301,,23.9,ab,24.424729902615
ztfg,59150.5160185001,38.1347007735352,23.9,ab,8.5724173492816
ztfg,59309.1946528,,23.9,ab,3.59343777359881
ztfg,59307.3092824002,,23.9,ab,3.2706216476968
ztfg,59219.4410764002,,23.9,ab,7.90150530008596
ztfg,58963.2295602001,,23.9,ab,3.34926742857371
ztfg,59298.3175231,,23.9,ab,25.615922854755
ztfg,58967.2397453999,,23.9,ab,4.44989682886486
ztfg,59215.4864814999,,23.9,ab,16.5756142756972
ztfg,58968.2477662,,23.9,ab,3.83309585166508
ztfg,58968.2756713,73.0062405990034,23.9,ab,9.17116600676203
ztfg,58971.2669560001,,23.9,ab,9.50670051067894
ztfg,58973.2444213,,23.9,ab,11.3008190550775
ztfg,59203.4029629999,44.4263241308971,23.9,ab,7.97380330418883
ztfg,58679.1853704001,,23.9,ab,15.3274531772327
ztfg,59309.1946528,,23.9,ab,5.98906295599801
ztfg,58676.1763309999,,23.9,ab,12.0511832531996
ztfg,59369.2149999999,-44.4991218268179,23.9,ab,6.8410950785575
ztfg,58450.5182754998,,23.9,ab,8.44402888040958
ztfg,58461.4833565,,23.9,ab,7.35308783795818
ztfg,59268.4898843002,,23.9,ab,4.94117560532103
ztfg,58464.5176504999,26.3973334590985,23.9,ab,5.19395270515489
ztfg,59367.2432638998,,23.9,ab,5.25085810634402
ztfg,58467.4952431,,23.9,ab,16.1938459282479
ztfg,58472.5243866001,38.04697468086,23.9,ab,5.64377924258706
ztfg,59365.1946991002,,23.9,ab,3.9780462421847
ztfg,58476.5474999999,,23.9,ab,9.23230377809984
ztfg,58480.4972917,72.644059215051,23.9,ab,8.84151172575351
ztfg,59266.4155903002,40.5882303041983,23.9,ab,9.19666419702008
ztfg,58486.5415277998,68.9730858913868,23.9,ab,6.79156093784269
ztfg,58441.4876273,,23.9,ab,4.56404589557003
ztfg,58491.4741898002,,23.9,ab,4.8007566178944
ztfg,58494.4767013998,67.5958991165679,23.9,ab,7.02365025068987
ztfg,58502.4605208002,,23.9,ab,12.2978784737307
ztfg,59348.2459028,,23.9,ab,3.63738833534596
ztfg,58505.4542361,,23.9,ab,17.7463821615184
ztfg,59346.3310532002,,23.9,ab,5.91602576453325
ztfg,58508.5397222,,23.9,ab,12.0113002623798
ztfg,59264.3292939998,,23.9,ab,4.07708923198268
ztfg,58511.4415509002,35.6976743250714,23.9,ab,6.05870313029834
ztfg,59350.1940509002,,23.9,ab,5.8828825285187
ztfg,58522.4628703999,,23.9,ab,3.40745151074478
ztfg,59311.2142130001,,23.9,ab,7.06771277302062
ztfg,58526.4407639001,,23.9,ab,5.7125499953784
ztfg,59262.4116318999,-66.0815096581968,23.9,ab,5.98858541272206
