GLADE no,PGC no,GWGC name,HyperLEDA name,2MASS name,WISExSCOS name,SDSS-DR16Q name,Object type flag,RA,DEC,B,B_err,B flag,B_Abs,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W1 flag,B_J,B_J err,z_helio,z_cmb,z flag,v_err,z_err,d_L,d_L err,dist flag,M*,M*_err,M* flag,Merger rate,Merger rate error
50,,null,null,02220233+7244163,J022202.29+724416,null,G,35.509735,72.737862,15.090187,0.05871,1,-14.0172,13.799,0.047,13.037,0.056,12.656,0.066,12.416,,12.29,,0,14.757,0.06,0.000414,0.001494457,1,0.000230489,0.015,6.629324,1.023783,1,,,,,
51,,null,null,23543811+6359029,J235438.19+635902.9,null,G,358.658813,63.984158,12.560249,0.059688,1,-17.0246,14.298,0.07,13.507,0.069,13.129,0.084,11.863,,11.247,,0,12.405,0.061,0.000445,0.001861527,1,0.000215661,0.015,8.259941,0.958447,1,,,1,,
52,,null,null,04520345+5142336,J045203.48+514235.3,null,G,73.014381,51.709339,14.807196,0.069373,1,-11.154,14.785,0.058,13.934,0.06,13.749,0.081,13.444,,13.44,,0,14.406,0.072,0.000113,0.000351265,1,0.000283313,0.015,1.556829,1.25627,1,,,0,,
53,,null,null,20131799+4421456,J201318.17+442146,null,G,303.324982,44.362667,13.91302,0.065149,1,-16.3698,14.894,0.09,14.207,0.105,13.865,0.126,14.002,,14.055,,0,13.678,0.067,0.000313,0.002565773,1,0.000218726,0.015,11.390942,0.973114,1,,,,,
54,,null,null,03274908+5004099,J032749.11+500410.3,null,G,51.954529,50.069431,15.884267,0.05871,1,-10.99,14.781,0.078,13.961,0.081,13.821,0.104,13.992,,14.021,,0,15.536,0.06,0.000105,0.000534791,1,0.000274038,0.015,2.370559,1.215475,1,,,1,,
55,,null,null,01550984+6600420,J015509.90+660041.6,null,G,28.791019,66.011688,15.573092,0.076662,1,-13.3236,15.171,0.147,14.409,0.175,13.964,0.183,14.571,,14.547,,0,15.201,0.08,0.000308,0.001356459,1,0.000235117,0.015,6.016537,1.044124,1,,,1,,
56,,null,null,01542710+6736420,J015427.15+673641.6,null,G,28.612917,67.611694,14.522004,0.067695,1,-14.1641,15.168,0.148,14.126,0.136,13.605,0.131,13.89,,13.935,,0,14.214,0.07,0.000189,0.001231173,1,0.000245558,0.015,5.46031,1.090293,1,,,0,,
57,,null,null,04005373+4832542,J040053.76+483253.9,null,G,60.223881,48.548412,15.294322,0.061438,1,-11.7762,15.315,0.116,14.58,0.13,14.266,0.18,14.101,,14.162,,0,14.945,0.063,0.000303,0.000585362,1,0.000285575,0.015,2.594826,1.266757,1,,,0,,
58,,null,null,04132116+4849417,J041321.11+484942.1,null,G,63.338196,48.828251,14.00252,0.062314,1,-13.0487,14.635,0.078,13.949,0.088,13.543,0.104,13.576,,13.551,,0,13.663,0.064,0.000336,0.000580184,1,0.000288404,0.015,2.571861,1.279299,1,,,0,,
59,,null,null,23311670+6217179,J233116.81+621717.5,null,G,352.819611,62.28833,12.558995,0.058816,1,-16.9513,14.734,0.094,14.236,0.125,13.824,0.143,13.84,,13.777,,0,12.414,0.06,0.000298,0.001798786,1,0.000224481,0.015,7.981166,0.997556,1,,,0,,
60,,null,null,23135123+6820153,J231351.17+682015.2,null,G,348.46347,68.337593,14.85318,0.061336,1,-14.7292,14.665,0.086,13.716,0.089,13.487,0.108,13.573,,13.582,,0,14.474,0.063,0.000348,0.001859407,1,0.000224755,0.015,8.250523,0.998865,1,,,0,,
61,,null,null,00502216+6355205,J005022.12+635520.3,null,G,12.59234,63.922363,13.690996,0.059584,1,-15.5569,14.809,0.103,13.979,0.109,13.668,0.125,13.736,,13.818,,0,13.432,0.061,0.000339,0.001594248,1,0.000221438,0.015,7.072532,0.983726,1,,,0,,
62,,null,null,01533821+6833487,J015338.13+683348.1,null,G,28.40922,68.563553,15.496409,0.073991,1,-13.7182,14.865,0.088,13.882,0.084,13.685,0.112,13.662,,13.677,,0,15.14,0.077,0.000473,0.001570075,1,0.000217533,0.015,6.965164,0.96634,1,,,0,,
63,,null,null,02490836+6740410,J024908.44+674040.5,null,G,42.284847,67.678078,14.945775,0.077471,1,-13.8061,14.962,0.095,13.988,0.095,13.809,0.127,13.745,,13.723,,0,14.558,0.081,0.000339,0.001269025,1,0.000238317,0.015,5.628349,1.058199,1,,,1,,
64,,null,null,03231351+6319559,J032313.66+631956.5,null,G,50.806309,63.332199,13.411091,0.060459,1,-14.6396,15.085,0.072,14.659,0.121,14.103,0.101,14.177,,14.154,,0,13.134,0.062,0.000187,0.000919066,1,0.00026224,0.015,4.075126,1.163823,1,,,1,,
65,,null,null,04055498+5523497,J040554.89+552350.2,null,G,61.479118,55.397141,14.502377,0.060562,1,-13.2125,15,0.085,14.525,0.136,14.127,0.127,14.159,,14.208,,0,14.19,0.062,0.000365,0.000787467,1,0.000268769,0.015,3.491269,1.192563,1,,,1,,
66,,null,null,04395061+2919306,J043950.58+291930.7,null,G,69.960892,29.32518,15.404497,0.061438,1,-3.34577,14.686,0.064,14.23,0.089,13.947,0.135,13.789,,13.772,,0,15.06,0.063,0.00011,1.26929E-05,1,0.000215992,0.015,0.056241,0.957207,1,,,0,,
67,,null,null,04441383+3912070,J044413.75+391205.9,null,G,71.057655,39.201958,16.672204,0.060459,1,-7.42673,14.8,0.107,14.195,0.135,13.642,0.15,13.973,,14.094,,0,16.203,0.062,0.000183,0.000149021,1,0.000275628,0.015,0.660369,1.221806,1,,,1,,
68,,null,null,23014387+6145462,J230143.87+614544.8,null,G,345.4328,61.76284,15.190544,0.073103,1,-14.7761,14.675,0.079,13.779,0.089,13.443,0.095,13.303,,13.223,,0,14.856,0.076,0.000653,0.002218737,1,0.000197324,0.015,9.847637,0.877417,1,,,0,,
69,,null,null,04054458+5148511,J040544.60+514852.1,null,G,61.435776,51.814198,13.589703,0.059584,1,-13.0452,14.807,0.115,14.111,0.134,13.569,0.144,14.005,,14.021,,0,13.301,0.061,0.000124,0.000478986,1,0.000279063,0.015,2.123104,1.237665,1,,,1,,
