wavelengths,fluxes
3849.099,6.949601e-18
3851.7309999999998,2.0466e-17
3854.365,1.8947729999999997e-17
3857.0009999999997,2.527242e-17
3859.637,2.125035e-17
3862.275,1.898795e-17
3864.914,1.740708e-17
3867.554,3.000442e-17
3870.195,2.62284e-17
3872.837,1.402692e-18
3875.4809999999998,3.0949790000000003e-17
3878.1259999999997,7.329932999999999e-18
3880.772,2.206062e-17
3883.4190000000003,3.5500720000000003e-17
3886.067,1.154006e-17
3888.717,1.438519e-17
3891.367,2.7032059999999998e-17
3894.0190000000002,1.3588829999999999e-17
3896.672,2.225625e-17
3899.327,1.197509e-17
3901.982,3.225675e-18
3904.639,2.552661e-17
3907.296,1.706124e-17
3909.955,8.39188e-18
3912.615,2.959155e-17
3915.277,2.4197729999999996e-17
3917.9390000000003,2.092979e-17
3920.603,1.932562e-17
3923.2670000000003,2.580895e-17
3925.933,1.842933e-17
3928.6,2.5225170000000003e-17
3931.268,1.447455e-17
3933.938,3.12915e-17
3936.6079999999997,1.715205e-17
3939.28,1.7603339999999998e-17
3941.953,1.984243e-17
3944.627,2.272554e-17
3947.302,2.0984839999999998e-17
3949.978,1.705763e-17
3952.655,2.571099e-17
3955.3340000000003,1.3827550000000002e-17
3958.014,1.4928620000000002e-17
3960.6940000000004,2.212788e-17
3963.3759999999997,2.5882100000000002e-17
3966.059,1.578225e-17
3968.743,2.286522e-17
3971.429,2.8637620000000005e-17
3974.115,2.398654e-17
3976.803,1.974094e-17
3979.491,3.496567e-17
3982.1809999999996,2.476712e-17
3984.8720000000003,3.3488070000000005e-17
3987.5640000000003,2.1504000000000002e-17
3990.257,2.4405820000000003e-17
3992.952,2.826712e-17
3995.647,2.3450229999999996e-17
3998.343,2.138284e-17
4001.0409999999997,1.9059129999999998e-17
4003.74,1.60578e-17
4006.44,1.480795e-17
4009.1409999999996,1.6361800000000002e-17
4011.843,3.542346e-17
4014.546,2.145581e-17
4017.25,1.3205639999999999e-17
4019.955,3.005079e-17
4022.6620000000003,2.5454579999999998e-17
4025.369,3.374572e-17
4028.078,1.366852e-17
4030.7870000000003,2.9722759999999995e-17
4033.498,2.3999829999999998e-17
4036.21,3.360616e-17
4038.923,2.8367259999999993e-17
4041.637,2.80597e-17
4044.3520000000003,3.492218e-17
4047.0679999999998,1.337634e-17
4049.7859999999996,2.3668160000000003e-17
4052.5040000000004,3.107432e-17
4055.224,1.86191e-17
4057.9440000000004,2.1366100000000002e-17
4060.6659999999997,2.0859570000000002e-17
4063.388,2.5688169999999998e-17
4066.112,2.6562240000000004e-17
4068.837,4.245544e-17
4071.563,4.0551140000000005e-17
4074.29,2.627987e-17
4077.018,2.878831e-17
4079.7470000000003,2.560192e-17
4082.4770000000003,1.589583e-17
4085.208,3.512803e-17
4087.94,2.6914770000000003e-17
4090.673,2.308284e-17
4093.408,1.379755e-17
4096.143,2.972838e-17
4098.88,3.433151e-17
4101.617,3.202398e-17
4104.356,3.3281170000000007e-17
4107.095,3.1689620000000004e-17
4109.835999999999,2.6781290000000003e-17
4112.577,3.3287680000000006e-17
4115.32,2.6450240000000003e-17
4118.064,2.6968419999999998e-17
4120.809,1.933501e-17
4123.554,2.042057e-17
4126.3009999999995,2.4421910000000002e-17
4129.049,3.100236e-17
4131.798,2.880987e-17
4134.548,3.460159e-17
4137.299,3.2911609999999995e-17
4140.0509999999995,2.172189e-17
4142.804,3.348059e-17
4145.558,1.614833e-17
4148.313,2.333542e-17
4151.069,1.852027e-17
4153.826,3.243626e-17
4156.584,2.6096060000000005e-17
4159.343,3.493662e-17
4162.103,3.1820310000000004e-17
4164.865,3.108654000000001e-17
4167.627,3.03529e-17
4170.39,2.961887e-17
4173.154,2.8884709999999997e-17
4175.919,2.8150159999999995e-17
4178.685,2.741535e-17
4181.452,1.8978589999999997e-17
4184.221,3.2121009999999995e-17
4186.99,2.260215e-17
4189.76,3.03227e-17
4192.531,3.2558379999999995e-17
4195.303,1.607937e-17
4198.076,3.038558e-17
4200.851,2.721809e-17
4203.626,2.4717220000000002e-17
4206.402,2.07381e-17
4209.179,3.091135e-17
