field,filter,limmag
3681,desz,22.61949685040642
3682,desg,24.547345388503302
3682,desr,23.992818696158274
3682,desz,22.46491186959403
3685,desg,24.600239086151124
3685,desr,24.013850355148314
3685,desz,23.06251540184021
3687,desz,22.857099300477564
3688,desg,24.06059283744998
3688,desr,20.793810435703822
3688,desz,21.61299751900338
3689,desz,22.289527306189903
3690,desg,24.354576953621798
3690,desr,21.780227506482923
3690,desz,22.5726779228033
3693,desg,24.506955356132693
3693,desr,23.936820006952054
3693,desz,23.065957185698718
3694,desz,22.42594657625471
3695,desg,24.299527168273926
3695,desr,22.164620113372802
3695,desz,22.848224776131765
3696,desr,23.45731823618819
3698,desg,24.603629814951045
3698,desr,24.10662841796875
3698,desz,22.829985166850843
3701,desg,21.4549825331744
3701,desr,21.115078196806067
3701,desz,22.650327864147368
3702,desz,22.49337050494026
3703,desg,24.483055336530818
3703,desr,23.878822903300442
3703,desz,23.00208291342092
3706,desg,24.622222606952374
3706,desr,24.04030296130058
3706,desz,22.968257219363483
3707,desz,22.219547324710422
3708,desg,22.873335007698305
3708,desr,22.282623906289377
3708,desz,22.680684190047415
3709,desz,22.83919006586075
3711,desg,24.601437230263986
3711,desr,24.058186008084206
3711,desz,22.24002485564261
3714,desg,22.59893783363136
3714,desr,22.613557815551758
3714,desz,23.11749183840868
3716,desg,24.488982875172685
3716,desr,24.07252651307641
3716,desz,23.07836318597561
3717,desr,22.05397915840149
3719,desg,24.736391067504883
3719,desr,23.967433595657347
3719,desz,23.16233558654785
3721,desz,22.740737682435572
3722,desg,24.37301290602911
3722,desr,23.657962072463263
3722,desz,22.99249771663121
3723,desz,22.434088071187336
3724,desg,23.271495015997637
3724,desr,24.04172883382658
3724,desz,22.32781851919074
3727,desg,24.414852460225422
3727,desr,24.086092994326638
3727,desz,23.064075333731516
3728,desz,22.30679357968844
3729,desg,24.51055341296726
3729,desr,23.578206191191803
3729,desz,22.87715965662247
3730,desg,21.038989673961293
3732,desg,24.650518172826523
3732,desr,24.136391810881786
3732,desz,23.1584163078895
3735,desg,24.70746305512219
3735,desr,23.97860964333139
3735,desz,22.896413523976396
3736,desz,22.571035639444986
3737,desg,24.563117404316746
3737,desr,24.214983075164085
3737,desz,23.122490594553394
3740,desg,22.37735439749325
3740,desr,22.01125655454748
3740,desz,22.991080650916466
3741,desg,24.035939534505207
3741,desz,22.44447143261249
3742,desz,22.850011034709652
3743,desz,21.9023684547061
3744,desz,22.25036096572876
3745,desg,24.70266477073111
3745,desr,24.11109584715308
3745,desz,23.245158218755954
3748,desg,24.6360317788473
3748,desr,24.110803185439693
3748,desz,23.143406286472228
3749,desz,22.335076904296876
3750,desg,22.197394688924152
3750,desr,23.830404607261098
3750,desz,22.677627191310975
3751,desr,23.915257964023326
3753,desg,22.74689726829529
3753,desr,22.33886823654175
3753,desz,23.049269141220464
