filter,mjd,flux,zp,magsys,fluxerr,ra_unc,dec_unc,ra,dec
ztfr,58311.21328999987,27567.666102901032,25.0,ab,279.29834809957646,0.25,0.22,229.9620558,34.8442734
ztfr,58328.28153999988,17897.8143940896,25.0,ab,181.32945952707996,0.25,0.22,229.9620572,34.8443187
ztfr,58557.42010000022,21242.224773886992,25.0,ab,215.2129334112254,0.25,0.22,229.9620574,34.8442714
ztfr,58280.30125000002,16113.87535720004,25.0,ab,163.2557051420045,0.25,0.22,229.9620702,34.8442763
ztfr,58651.25237999996,19142.55925021086,25.0,ab,193.94043576360394,0.25,0.22,229.9620648,34.8442539
ztfr,58224.45459000021,13905.92875465446,25.0,ab,140.88617133811977,0.25,0.22,229.9620519,34.8442744
ztfr,58649.272040000185,23485.510240588832,25.0,ab,237.94049848064122,0.25,0.22,229.9620563,34.8442591
ztfr,58641.31431999989,26717.757271179464,25.0,ab,270.68760347400604,0.25,0.22,229.9620507,34.8442524
ztfr,58649.236980000045,26181.830082189863,25.0,ab,265.2579244425013,0.25,0.22,229.9620598,34.8442583
ztfr,58632.267469999846,31506.488329723954,25.0,ab,319.2040309855778,0.25,0.22,229.9620547,34.8443068
ztfr,58638.253860000055,20100.182471136908,25.0,ab,203.6424752002429,0.25,0.22,229.9620545,34.8442593
ztfr,58732.21723000007,21379.620895022323,25.0,ab,216.604944962916,0.25,0.22,229.9620618,34.8442445
ztfr,58616.366750000045,14348.285182325875,25.0,ab,145.36784994880398,0.25,0.22,229.9620535,34.8442581
ztfr,58616.41979000019,30478.949896279893,25.0,ab,308.7936543509177,0.25,0.22,229.9620605,34.8442563
ztfr,58636.21591999987,17013.74815899199,25.0,ab,172.37265345754514,0.25,0.22,229.9620527,34.8442564
ztfr,58633.30663000001,24188.00223147846,25.0,ab,245.05770789098037,0.25,0.22,229.9620632,34.8442718
ztfr,58662.23671999993,15689.171126078567,25.0,ab,158.95286754449583,0.25,0.22,229.9620653,34.8442637
ztfr,58653.20637999987,16188.253626421068,25.0,ab,164.00925923869144,0.25,0.22,229.962061,34.8442585
