observation_id,field_id,filter,obstime,limmag,exposure_time
141,674,ztfg,2019-04-25T10:57:31.000339,20.34890,30
142,634,ztfg,2019-04-25T10:58:29.000628,20.95980,30
143,791,ztfg,2019-04-25T10:59:37.999690,20.62750,30
144,586,ztfg,2019-04-25T11:00:53.003508,20.80060,30
145,680,ztfg,2019-04-25T11:01:50.001589,21.01180,30
146,793,ztfg,2019-04-25T11:02:40.001278,20.76220,30
147,717,ztfg,2019-04-25T11:03:27.002874,20.34900,30
148,722,ztfg,2019-04-25T11:04:21.002862,20.88820,30
149,760,ztfg,2019-04-25T11:05:01.999663,20.92410,30
150,757,ztfg,2019-04-25T11:05:50.997104,20.79180,30
151,536,ztfg,2019-04-25T11:07:07.003209,20.70840,30
152,794,ztfg,2019-04-25T11:08:29.999058,20.63670,30
153,761,ztfg,2019-04-25T11:09:10.002220,20.89150,30
154,382,ztfg,2019-04-25T11:10:32.998069,20.12250,30
155,625,ztfg,2019-04-25T11:11:45.003834,19.79790,30
156,756,ztfg,2019-04-25T11:12:28.998727,20.40940,30
157,672,ztfg,2019-04-25T11:13:10.997775,20.01640,30
158,790,ztfg,2019-04-25T11:13:55.001278,20.52640,30
159,755,ztfg,2019-04-25T11:14:34.002233,20.13680,30
160,632,ztfr,2019-04-25T11:17:39.001914,21.05820,30
161,584,ztfr,2019-04-25T11:18:18.996466,20.96960,30
162,677,ztfr,2019-04-25T11:19:08.002557,20.90250,30
163,534,ztfr,2019-04-25T11:20:02.002546,20.89010,30
164,483,ztfr,2019-04-25T11:20:41.003501,20.41120,30
165,678,ztfr,2019-04-25T11:21:39.003831,21.02260,30
166,432,ztfr,2019-04-25T11:22:40.995850,20.69420,30
167,631,ztfr,2019-04-25T11:23:37.000334,21.02010,30
168,676,ztfr,2019-04-25T11:24:20.001589,20.80040,30
169,585,ztfr,2019-04-25T11:25:11.003526,20.89950,30
170,633,ztfr,2019-04-25T11:25:52.000326,20.88160,30
171,380,ztfr,2019-04-25T11:26:43.995860,20.48140,30
172,720,ztfr,2019-04-25T11:27:49.003192,20.98220,30
173,679,ztfr,2019-04-25T11:28:31.995837,20.89260,30
174,719,ztfr,2019-04-25T11:29:19.999681,20.90940,30
175,330,ztfr,2019-04-25T11:30:27.996495,20.06610,30
176,535,ztfr,2019-04-25T11:31:13.995844,20.58410,30
177,721,ztfr,2019-04-25T11:32:15.996473,21.07080,30
178,718,ztfr,2019-04-25T11:33:04.000316,20.78910,30
179,484,ztfr,2019-04-25T11:34:10.001286,20.78290,30
180,675,ztfr,2019-04-25T11:35:15.000008,20.52460,30
181,381,ztfr,2019-04-25T11:36:19.998730,20.42970,30
182,673,ztfr,2019-04-25T11:37:34.000300,20.41090,30
183,759,ztfr,2019-04-25T11:38:22.004144,20.77400,30
184,433,ztfr,2019-04-25T11:39:34.001299,20.65350,30
185,792,ztfr,2019-04-25T11:40:49.998714,20.67360,30
186,758,ztfr,2019-04-25T11:41:28.999669,20.66310,30
187,674,ztfr,2019-04-25T11:42:10.998717,20.26150,30
188,634,ztfr,2019-04-25T11:43:08.999046,20.85590,30
189,791,ztfr,2019-04-25T11:44:06.999376,20.52490,30
190,586,ztfr,2019-04-25T11:45:10.995850,20.98030,30
191,680,ztfr,2019-04-25T11:46:01.004148,20.91660,30
192,793,ztfr,2019-04-25T11:46:50.001589,20.60150,30
193,717,ztfr,2019-04-25T11:47:36.000978,20.29040,30
194,722,ztfr,2019-04-25T11:48:31.003214,20.79180,30
