filter,mjd,flux,zp,magsys,fluxerr
ztfi,59317.2957406999,386.117659972158,23.9,ab,13.7090842538463
ztfi,59367.3181713,191.973225381701,23.9,ab,14.2917812495195
ztfi,59324.2963542002,366.876296481032,23.9,ab,16.6685436887494
ztfi,59268.4076156998,,23.9,ab,13.7391035306503
ztfi,59321.3172105998,375.677130749234,23.9,ab,20.631288149417
ztfi,59317.2957406999,386.13461798553,23.9,ab,13.7095551845745
ztfi,59271.3410764001,,23.9,ab,29.000026756855
ztfi,59353.2539698998,217.853948532802,23.9,ab,15.3275276764544
ztfi,59324.2963542002,366.887897731076,23.9,ab,16.669213024819
ztfi,59265.3534144,,23.9,ab,12.7725867559588
ztfi,59338.3406596999,262.167281780678,23.9,ab,16.7670841732539
ztfi,59278.3941203998,,23.9,ab,17.0828006810736
ztfi,59348.286169,228.137760533937,23.9,ab,14.7884289315715
ztfi,59375.1920369999,187.326155075192,23.9,ab,13.3446778134828
ztfi,59308.3313310002,430.172586455048,23.9,ab,20.2027579251845
ztfi,59314.2961343001,391.535640812737,23.9,ab,17.466840658735
ztfi,59305.3785648001,448.431556842315,23.9,ab,17.6434027931615
ztfi,59370.1906019002,190.707015086772,23.9,ab,15.8451717541752
ztfi,59291.3307754998,,23.9,ab,11.435070663767
ztfi,59341.2552431002,267.409491924937,23.9,ab,17.2132366172574
ztfi,59295.3492244999,163.182695547307,23.9,ab,12.2341037180731
ztfi,59311.3374768998,411.496648602451,23.9,ab,15.9143302377556
ztfi,59394.2688079001,,23.9,ab,17.0152621746826
ztfi,59378.2906944002,159.569984330246,23.9,ab,12.580407035166
ztfi,59401.2037153002,58.3984152675885,23.9,ab,7.67847084692652
ztfi,59383.2758101998,146.883843966612,23.9,ab,16.2349851927183
ztfi,59386.2474769,130.014244379271,23.9,ab,18.3794215328594
