ID,RA,Dec,Field_Type
3083,259.688995361,9.70230579376,WFD
3084,100.311004639,9.70230579376,WFDNE
3085,331.688995361,9.70235729218,NS
3086,28.311006546,9.70235729218,NE
3087,247.385803223,9.85416412354,NS
3088,112.614196777,9.85416412354,NE
3089,319.38583374,9.85416507721,WFD
3090,40.6141624451,9.85416507721,WFDNE
3091,184.614135742,9.85416984558,NS
3092,175.385864258,9.85416984558,NE
3093,256.614135742,9.85416984558,NS
3094,103.385848999,9.85416984558,NE
3095,328.61416626,9.85422134399,NS
3096,31.3858299255,9.85422134399,NE
3097,214.36605835,9.93035888672,NS
3098,145.63394165,9.93035888672,NE
3099,289.633911133,9.93041229248,GP
3100,70.3660888672,9.93041229248,NE
3101,286.366088867,9.93041324615,GP
3102,73.6339187622,9.93041324615,NE
3103,217.63394165,9.93041706085,NS
3104,142.36605835,9.93041706085,WFDNE
3105,358.366088867,9.9304189682,NE
3106,1.63390696049,9.9304189682,NE
3107,253.538299561,9.93372917175,NS
3108,106.461700439,9.93372917175,NE
3109,181.538314819,9.93372917175,NE
3110,178.461685181,9.93372917175,NE
3111,250.461700439,9.93373298645,NS
3112,109.53830719,9.93373298645,NE
3113,325.538269043,9.93373394012,NS
3114,34.4617271423,9.93373394012,NE
3115,322.461700439,9.93378925323,NS
3116,37.5383071899,9.93378925323,NE
3117,220.886627197,10.0969276428,NS
3118,139.113372803,10.0969276428,NE
3119,355.113372803,10.096988678,NS
3120,4.88662195206,10.096988678,NE
3121,211.113357544,10.096988678,NS
3122,148.886642456,10.096988678,NE
3123,283.113372803,10.096991539,GP
3124,76.8866119385,10.096991539,NE
3125,292.88659668,10.0970468521,GP
3126,67.1134109497,10.0970468521,NE
3127,207.89755249,10.3817043304,NS
3128,152.10244751,10.3817043304,NE
3129,224.102416992,10.3817558289,WFD
3130,135.897583008,10.3817558289,WFDNE
3131,279.89755249,10.3817605972,NS
3132,80.1024475098,10.3817605972,NE
3133,351.89755249,10.3818149567,NS
3134,8.10243988037,10.3818149567,NE
3135,296.102478027,10.381816864,WFD
3136,63.8975219727,10.381816864,GPNE
3137,348.720123291,10.721534729,WFD
3138,11.2798671722,10.721534729,GPWFDNE
3139,204.72013855,10.7215385437,WFD
3140,155.27986145,10.7215385437,WFDNE
3141,227.279891968,10.7215442657,WFD
3142,132.720108032,10.7215442657,WFDNE
3143,299.279876709,10.7216005325,WFD
3144,60.7201271057,10.7216005325,WFDNE
3145,276.720153809,10.7216005325,WFD
3146,83.2798614502,10.7216005325,WFDNE
3147,273.549621582,11.0358371735,WFDNE
3148,86.450378418,11.0358371735,GPWFDNE
3149,201.5496521,11.0358390808,DDGPWFDNE
3150,158.4503479,11.0358390808,GPWFDNE
3151,345.549621582,11.0358943939,DDWFDNE
3152,14.4503850937,11.0358943939,GPWFDNE
3153,230.450332642,11.0358953476,GPWFDNE
3154,129.549667358,11.0358953476,GPWFDNE
3155,302.4503479,11.0358963013,GPWFDNE
3156,57.5496635437,11.0358963013,GPWFDNE
