# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2021zac
# CHANNEL = B+R
# EXPNUM = 21_261_058
# MJD-OBS = 59475.616424
# DATE-OBS = 2021-09-18T14:48:08
# EXPTIME = 1800.0s
# AIRMASS = 1.95
# RA = 08:20:57.09
# DEC = 58:51:24.99
# wl fl err
# [A] [erg/s/cm2/A]
3531.860000 -2.320260e-17 4.019087e-17
3534.860000 3.052510e-17 3.855755e-17
3537.860000 4.832384e-17 3.568666e-17
3540.860000 3.527347e-17 3.850301e-17
3543.860000 6.559513e-17 4.096011e-17
3546.860000 9.522679e-17 3.825259e-17
3549.860000 5.851341e-17 3.580270e-17
3552.860000 1.841012e-17 3.920921e-17
3555.860000 2.826800e-17 4.058395e-17
3558.860000 -1.099223e-17 3.637071e-17
3561.860000 2.684846e-17 3.501283e-17
3564.860000 1.326455e-18 3.916372e-17
3567.860000 3.266811e-17 3.946272e-17
3570.860000 4.363398e-17 3.479554e-17
3573.860000 4.460617e-17 3.412586e-17
3576.860000 4.733089e-17 3.814018e-17
3579.860000 2.297963e-17 3.745624e-17
3582.860000 4.607513e-17 3.263289e-17
3585.860000 5.014855e-17 3.299320e-17
3588.860000 3.411493e-17 3.629224e-17
3591.860000 -1.154896e-17 3.499171e-17
3594.860000 -2.208832e-18 3.110784e-17
3597.860000 3.978195e-17 3.258562e-17
3600.860000 -1.473400e-18 3.504489e-17
3603.860000 1.792049e-17 3.346432e-17
3606.860000 3.039105e-17 3.061008e-17
3609.860000 2.692847e-17 3.270531e-17
3612.860000 3.780653e-17 3.488083e-17
3615.860000 2.298113e-17 3.251435e-17
3618.860000 -7.610648e-18 3.024487e-17
3621.860000 2.692840e-17 3.332945e-17
3624.860000 1.158916e-17 3.448352e-17
3627.860000 2.127525e-17 3.129897e-17
3630.860000 6.178493e-17 3.001599e-17
3633.860000 7.175686e-17 3.355322e-17
3636.860000 2.379143e-17 3.376991e-17
3639.860000 5.201529e-17 3.020773e-17
3642.860000 8.797574e-17 2.995409e-17
3645.860000 4.751449e-17 3.387270e-17
3648.860000 4.502191e-17 3.334993e-17
3651.860000 2.466243e-17 2.879471e-17
3654.860000 3.065981e-17 2.934684e-17
3657.860000 5.518438e-17 3.256692e-17
3660.860000 5.389523e-17 3.172548e-17
3663.860000 7.434552e-17 2.840914e-17
3666.860000 5.028230e-17 2.917181e-17
3669.860000 3.974395e-17 3.162613e-17
3672.860000 5.048589e-17 3.031684e-17
3675.860000 1.075038e-17 2.722258e-17
3678.860000 2.220080e-17 2.922552e-17
3681.860000 5.949687e-17 3.134686e-17
3684.860000 4.623704e-17 2.911869e-17
3687.860000 1.008473e-17 2.681689e-17
3690.860000 -4.422980e-18 2.913490e-17
3693.860000 6.859091e-19 3.035282e-17
3696.860000 1.839758e-17 2.794662e-17
3699.860000 8.041361e-18 2.668096e-17
3702.860000 2.040620e-17 2.986558e-17
3705.860000 5.481287e-18 3.042559e-17
3708.860000 2.001574e-18 2.713415e-17
