,name,ra,dec,amaj,amin,phi
625,4FGL J0433.6-6030 ,68.4012,-60.5111,0.0296,0.0272,-65.48
626,4FGL J0433.6+2905 ,68.4107,29.0975,0.014,0.0137,-59.19
627,4FGL J0433.7-5725 ,68.441,-57.4279,0.0319,0.0305,-56.7
628,4FGL J0434.1-2014 ,68.5293,-20.2444,0.0675,0.0538,-66.0
629,4FGL J0434.4-2342 ,68.6019,-23.7113,0.0683,0.0617,25.08
630,4FGL J0434.7+0922 ,68.6886,9.3783,0.0297,0.0279,43.8
631,4FGL J0435.4-2623 ,68.8588,-26.3925,0.0793,0.0682,-18.18
632,4FGL J0435.5+3232 ,68.8755,32.5492,0.0472,0.0453,71.61
633,4FGL J0436.2-0038 ,69.0504,-0.647,0.082,0.0579,20.86
634,4FGL J0436.9+2915 ,69.2464,29.2565,0.0461,0.043,19.4
635,4FGL J0437.2-4715 ,69.3136,-47.2545,0.026,0.0255,-63.7
636,4FGL J0437.4-6155 ,69.3535,-61.9321,0.0727,0.0555,-36.2
637,4FGL J0438.0-7329 ,69.5241,-73.4849,0.0379,0.0342,-50.4
638,4FGL J0438.4-1254 ,69.6099,-12.9053,0.0686,0.0636,-25.88
639,4FGL J0438.7-3441 ,69.6792,-34.6858,0.0604,0.0523,-80.68
640,4FGL J0438.9-4521 ,69.7447,-45.3584,0.0353,0.034,-26.9
641,4FGL J0439.4-3202 ,69.8634,-32.0405,0.0461,0.0349,41.99
642,4FGL J0439.8-1859 ,69.9579,-18.9991,0.0286,0.0274,17.22
643,4FGL J0440.2-2458 ,70.0679,-24.9685,0.0328,0.0311,14.83
644,4FGL J0440.4+1440 ,70.1151,14.6823,0.0544,0.0464,75.22
645,4FGL J0440.8+2749 ,70.2204,27.8319,0.0309,0.0277,-18.54
646,4FGL J0441.3-2617 ,70.335,-26.2937,0.0584,0.0464,22.45
647,4FGL J0441.5+1505 ,70.3896,15.0909,0.0588,0.0548,-14.01
648,4FGL J0442.0-5432 ,70.5081,-54.543,0.0749,0.0711,-50.19
649,4FGL J0442.6-0017 ,70.6612,-0.2961,0.0171,0.0169,-79.87
650,4FGL J0442.7+6142 ,70.6782,61.7054,0.0294,0.0276,-65.36
651,4FGL J0443.3-6652 ,70.8483,-66.8673,0.0547,0.047,-65.22
652,4FGL J0443.4-4152 ,70.857,-41.8818,0.0646,0.0572,85.25
653,4FGL J0444.6+3425 ,71.1598,34.4185,0.033,0.0284,-66.05
654,4FGL J0445.1-6012 ,71.2858,-60.2122,0.0486,0.0415,82.79
655,4FGL J0447.2-2539 ,71.8123,-25.6514,0.0676,0.0566,-68.52
656,4FGL J0448.6-1632 ,72.1516,-16.5483,0.023,0.0212,78.61
657,4FGL J0449.1+1121 ,72.2823,11.3569,0.0278,0.0259,-86.32
658,4FGL J0449.2+6329 ,72.3185,63.4945,0.04,0.0385,87.97
659,4FGL J0449.4-4350 ,72.3582,-43.835,0.0087,0.0087,-17.03
660,4FGL J0449.6-8100 ,72.4,-81.0129,0.0384,0.0379,0.97
661,4FGL J0450.4+7230 ,72.6181,72.5137,0.061,0.0527,58.3
662,4FGL J0451.8-4651 ,72.9556,-46.8575,0.0493,0.0467,51.62
663,4FGL J0451.8+5721 ,72.9698,57.3548,0.0445,0.0391,-45.58
664,4FGL J0453.1-2806 ,73.2887,-28.1144,0.0304,0.03,58.0
665,4FGL J0453.1+6322 ,73.29,63.3737,0.0292,0.0274,-12.29
666,4FGL J0455.7-4617 ,73.9463,-46.2871,0.0288,0.0283,7.51
667,4FGL J0455.9+6757 ,73.9924,67.9588,0.0607,0.0489,-74.63
668,4FGL J0456.2+2702 ,74.0673,27.0403,0.0472,0.0408,17.09
669,4FGL J0456.3-1634 ,74.0782,-16.5759,0.0484,0.0455,63.21
670,4FGL J0456.4-4043 ,74.1111,-40.7222,0.0733,0.0667,23.33
671,4FGL J0456.6-3136 ,74.1558,-31.6151,0.0578,0.0506,71.9
672,4FGL J0457.0+0646 ,74.2545,6.7804,0.059,0.0546,34.51
673,4FGL J0457.0-2324 ,74.2608,-23.4149,0.0089,0.0088,86.91
674,4FGL J0458.0+1152 ,74.5069,11.8727,0.0404,0.0338,-47.28
675,4FGL J0459.4+1921 ,74.8599,19.3623,0.0446,0.0388,89.19
676,4FGL J0459.7-5413 ,74.9287,-54.224,0.0609,0.0544,14.49
677,4FGL J0500.2+5237 ,75.0735,52.6332,0.0231,0.0215,-10.85
678,4FGL J0500.6-4911 ,75.1748,-49.1862,0.0377,0.0328,34.19
679,4FGL J0501.0+2424 ,75.2707,24.4113,0.0347,0.032,-1.36
