,Unnamed: 0,nightdate,jd,field,rcid,ra0,dec0,nalertpackets,programid,expid,fid,scimaglim,diffmaglim,sciinpseeing,difffwhm,exptime,status,exitcode
57,742622, 2019-04-25 ,2458598.8460417003,1,43,178.9525477796,62.66085128899,7,2,84434604,2,21.45,20.4698,1.5498,2.34674,30,1,0
58,742623, 2019-04-25 ,2458598.8460417003,1,25,177.1662928524,61.58537922955,4,2,84434604,2,21.44,20.4115,1.5689,2.30875,30,1,0
59,742624, 2019-04-25 ,2458598.8460417003,1,21,181.060505144,61.60815683959001,6,2,84434604,2,21.46,20.3986,1.5201,2.27846,30,1,0
60,742625, 2019-04-25 ,2458598.8460417003,1,58,176.8717414904,64.54272980824,2,2,84434604,2,21.39,20.3586,1.5944,2.26735,30,1,0
61,742626, 2019-04-25 ,2458598.8460417003,1,10,177.3961128884,58.80773919285999,3,2,84434604,2,21.45,20.3162,1.5643,2.36016,30,1,0
62,742627, 2019-04-25 ,2458598.8460417003,1,28,175.0787344593,61.52592259846999,6,2,84434604,2,21.43,20.512,1.5922,2.29779,30,1,0
63,742628, 2019-04-25 ,2458598.8460417003,1,45,172.8417966915,63.35161738995,2,2,84434604,2,21.25,20.2892,1.7824,2.30875,30,1,0
64,742629, 2019-04-25 ,2458598.8465162003,1,18,195.3588926664,53.48314037334001,3,2,84434651,2,21.51,20.4367,1.6943,2.37881,30,1,0
65,742630, 2019-04-25 ,2458598.8465162003,1,52,193.9935881178,58.21618152913,6,2,84434651,2,21.53,20.4783,1.4973,2.29504,30,1,0
66,742631, 2019-04-25 ,2458598.8465162003,1,0,196.6707347478,52.38176342732,3,2,84434651,2,21.39,20.4218,1.8142,2.32511,30,1,0
67,742632, 2019-04-25 ,2458598.8465162003,1,8,190.5912502287,52.49901949186,5,2,84434651,2,21.65,20.5587,1.4574,2.24496,30,1,0
68,742633, 2019-04-25 ,2458598.8465162003,1,12,187.5422364661,52.44047843198,5,2,84434651,2,21.62,20.5104,1.4882,2.2840000000000003,30,1,0
69,742634, 2019-04-25 ,2458598.8465162003,1,35,197.0684741402,55.33031713606999,4,2,84434651,2,21.43,20.4919,1.8596,2.3735,30,1,0
70,742635, 2019-04-25 ,2458598.8465162003,1,62,185.4631196894,57.24284559811999,7,2,84434651,2,21.26,20.3757,1.756,2.31967,30,1,0
71,742636, 2019-04-25 ,2458598.8465162003,1,14,186.2292522366,51.52233804914,2,2,84434651,2,21.38,20.3814,1.5946,2.20808,30,1,0
72,742637, 2019-04-25 ,2458598.8465162003,1,63,187.0570544124,57.3070841809,2,2,84434651,2,21.43,20.5194,1.5615,2.28123,30,1,0
73,742638, 2019-04-25 ,2458598.8465162003,1,5,192.2133677305,52.4979260961,7,2,84434651,2,21.59,20.4485,1.6556,2.28676,30,1,0
74,742639, 2019-04-25 ,2458598.8465162003,1,60,186.9533888019,58.17159931956,2,2,84434651,2,21.33,20.3571,1.8065,2.32782,30,1,0
75,742640, 2019-04-25 ,2458598.8465162003,1,59,190.4994098966,57.37700921226,11,2,84434651,2,21.51,20.5188,1.4585,2.2617700000000003,30,1,0
76,742641, 2019-04-25 ,2458598.8465162003,1,31,187.4478086542,53.48610748342,2,2,84434651,2,21.54,20.5209,1.5078,2.09959,30,1,0
77,742642, 2019-04-25 ,2458598.8465162003,1,23,193.6878920437,53.52495205546,3,2,84434651,2,21.58,20.5627,1.5874,2.37881,30,1,0
78,742643, 2019-04-25 ,2458598.8465162003,1,39,193.80044266060003,55.441501290130006,2,2,84434651,2,21.49,20.5165,1.8548,2.37616,30,1,0
79,742644, 2019-04-25 ,2458598.8465162003,1,15,187.6159472867,51.5754707923,1,2,84434651,2,21.57,20.4517,1.4662,2.15891,30,1,0
80,742645, 2019-04-25 ,2458598.8465162003,1,38,192.2769638643,55.46223648813001,4,2,84434651,2,21.55,20.5532,1.6744,2.33865,30,1,0
81,742646, 2019-04-25 ,2458598.8465162003,1,19,196.8068815329,53.42485607572001,6,2,84434651,2,21.42,20.5623,1.8098,2.38941,30,1,0
82,742647, 2019-04-25 ,2458598.8465162003,1,40,190.5201328385,56.33041049577,1,2,84434651,2,21.6,20.5669,1.4864,2.22518,30,1,0
83,742648, 2019-04-25 ,2458598.8465162003,1,43,190.5390365816,55.46415088782,5,2,84434651,2,21.57,20.5047,1.5609,2.3655,30,1,0
84,742649, 2019-04-25 ,2458598.8465162003,1,45,185.6226650436,56.20057252216,6,2,84434651,2,21.34,20.4039,1.7515,2.27569,30,1,0
85,742650, 2019-04-25 ,2458598.8465162003,1,16,196.9218761304,54.28839050296,1,2,84434651,2,21.46,20.4962,1.8574,2.34405,30,1,0
86,742651, 2019-04-25 ,2458598.8465162003,1,22,192.2342783679,53.544726562040005,5,2,84434651,2,21.57,20.45,1.5506,2.34405,30,1,0
87,742652, 2019-04-25 ,2458598.8465162003,1,49,195.8729690672,58.167249356940005,4,2,84434651,2,21.51,20.3865,1.5256,2.30053,30,1,0
88,742653, 2019-04-25 ,2458598.8465162003,1,30,185.9999245425,53.4277945112,2,2,84434651,2,21.46,20.4299,1.6085,2.22234,30,1,0
